-4.5039133582,48.4919633121
-4.5038567871,48.4920223174
-4.503800216,48.4920813227
-4.5037436449,48.4921403279
-4.5036870738,48.4921993332
-4.5036305027,48.4922583385
-4.5036305027,48.4922583385
-4.5036252523,48.4922797247
-4.5036411481,48.4922949648
-4.5036622943,48.4922888186
-4.5036622943,48.4922888186
-4.5037213136,48.4922235318
-4.503780333,48.4921582451
-4.5038393523,48.4920929583
-4.5038983716,48.4920276715
-4.5039573909,48.4919623847
-4.5039573909,48.4919623847
-4.5039785371,48.4919562386
-4.5039944329,48.4919714786
-4.5039891826,48.4919928648
-4.5039891826,48.4919928648
-4.503921529,48.4920587696
-4.5038538754,48.4921246743
-4.5037862218,48.492190579
-4.5037185682,48.4922564837
-4.5037185682,48.4922564837
-4.5037133179,48.4922778699
-4.5037292137,48.49229311
-4.5037503599,48.4922869638
-4.5037503599,48.4922869638
-4.5038093792,48.4922216771
-4.5038683985,48.4921563903
-4.5039274178,48.4920911035
-4.5039864372,48.4920258167
-4.5040454565,48.4919605299
-4.5040454565,48.4919605299
-4.5040666027,48.4919543838
-4.5040824985,48.4919696239
-4.5040772481,48.4919910101
-4.5040772481,48.4919910101
-4.5040095945,48.4920569148
-4.503941941,48.4921228195
-4.5038742874,48.4921887242
-4.5038066338,48.492254629
-4.5038066338,48.492254629
-4.5038013834,48.4922760152
-4.5038172793,48.4922912552
-4.5038384254,48.4922851091
-4.5038384254,48.4922851091
-4.5038974448,48.4922198223
-4.5039564641,48.4921545355
-4.5040154834,48.4920892487
-4.5040745027,48.492023962
-4.504133522,48.4919586752
-4.504133522,48.4919586752
-4.5041546682,48.491952529
-4.504170564,48.4919677691
-4.5041653137,48.4919891553
-4.5041653137,48.4919891553
-4.5040976601,48.49205506
-4.5040300065,48.4921209647
-4.5039623529,48.4921868695
-4.5038946994,48.4922527742
-4.5038946994,48.4922527742
-4.503889449,48.4922741604
-4.5039053448,48.4922894004
-4.503926491,48.4922832543
-4.503926491,48.4922832543
-4.5039855103,48.4922179675
-4.5040445296,48.4921526807
-4.504103549,48.492087394
-4.5041625683,48.4920221072
-4.5042215876,48.4919568204
-4.5042215876,48.4919568204
-4.5042427338,48.4919506742
-4.5042586296,48.4919659143
-4.5042533792,48.4919873005
-4.5042533792,48.4919873005
-4.5041857257,48.4920532052
-4.5041180721,48.49211911
-4.5040504185,48.4921850147
-4.5039827649,48.4922509194
