-4.5038924738,48.4920378028
-4.5037719304,48.4921108253
-4.503651387,48.4921838478
-4.5036419589,48.4922010021
-4.5036521009,48.4922177442
-4.5036716711,48.4922173321
-4.5038016426,48.4921271553
-4.5039316141,48.4920369785
-4.5039511842,48.4920365663
-4.5039613262,48.4920533084
-4.5039518981,48.4920704627
-4.5037296675,48.4921821991
-4.5037202394,48.4921993534
-4.5037303814,48.4922160956
-4.5037499515,48.4922156834
-4.5038799231,48.4921255066
-4.5040098946,48.4920353298
-4.5040294647,48.4920349176
-4.5040396067,48.4920516597
-4.5040301786,48.4920688141
-4.503807948,48.4921805504
-4.5037985199,48.4921977047
-4.5038086619,48.4922144469
-4.503828232,48.4922140347
-4.5039582035,48.4921238579
-4.504088175,48.4920336811
-4.5041077452,48.4920332689
-4.5041178872,48.4920500111
-4.5041084591,48.4920671654
-4.5038862285,48.4921789017
-4.5038768004,48.492196056
-4.5038869424,48.4922127982
-4.5039065125,48.492212386
-4.504036484,48.4921222092
-4.5041664555,48.4920320324
-4.5041860257,48.4920316202
-4.5041961677,48.4920483624
-4.5041867396,48.4920655167
-4.503964509,48.492177253
-4.5039550809,48.4921944074
-4.5039652229,48.4922111495
-4.503984793,48.4922107373
-4.5041147645,48.4921205605
-4.504244736,48.4920303837
