-4.5036956305,48.492037673
-4.5038482303,48.4921839776
-4.5038693525,48.4921891631
-4.5038844044,48.4921734636
-4.5038783342,48.4921525784
-4.5038783342,48.4921525784
-4.5037347707,48.4920368487
-4.5037287005,48.4920159636
-4.5037437524,48.492000264
-4.5037648746,48.4920054495
-4.5037648746,48.4920054495
-4.5039265108,48.4921823289
-4.503947633,48.4921875144
-4.5039626849,48.4921718149
-4.5039566147,48.4921509297
-4.5039566147,48.4921509297
-4.5038130512,48.4920352
-4.503806981,48.4920143149
-4.5038220329,48.4919986153
-4.503843155,48.4920038009
-4.503843155,48.4920038009
-4.5040047913,48.4921806802
-4.5040259135,48.4921858658
-4.5040409654,48.4921701662
-4.5040348952,48.4921492811
-4.5040348952,48.4921492811
-4.5038913317,48.4920335513
-4.5038852615,48.4920126662
-4.5039003134,48.4919969666
-4.5039214355,48.4920021522
-4.5039214355,48.4920021522
-4.5040830718,48.4921790315
-4.504104194,48.4921842171
-4.5041192459,48.4921685175
-4.5041131756,48.4921476324
-4.5041131756,48.4921476324
-4.5039696122,48.4920319026
-4.5039635419,48.4920110175
-4.5039785939,48.4919953179
-4.503999716,48.4920005035
-4.503999716,48.4920005035
-4.5041613523,48.4921773828
-4.5041824745,48.4921825684
-4.5041975264,48.4921668688
-4.5041914561,48.4921459837
-4.5041914561,48.4921459837
-4.5040478927,48.4920302539
